time,x,y,z
22:29.7,0.65743,0.95202,-1.49928
22:29.9,0.70054,1.02027,-1.4406
22:30.1,0.76161,0.93046,-1.35438
22:30.3,0.59037,0.98914,-1.33282
22:30.5,0.73886,0.96878,-1.46215
22:30.7,0.62629,0.97597,-1.5388
22:30.9,0.63108,0.88615,-1.43701
22:31.1,0.65743,0.93286,-1.45377
22:31.3,0.73766,0.93525,-1.49808
22:31.5,0.64545,0.98914,-1.4382
22:31.7,0.7173,0.94244,-1.39509
22:31.9,0.63228,0.95321,-1.50646
22:32.1,0.73646,0.93405,-1.41186
22:32.3,0.69216,0.97956,-1.62981
22:32.5,0.70293,1.02267,-1.26696
22:32.7,0.66102,0.93525,-1.40108
22:32.9,0.60833,0.9604,-1.47413
22:33.1,0.53049,0.93166,-1.41904
22:33.3,0.71371,0.96998,-1.51604
22:33.5,0.78915,0.98076,-1.39629
22:33.7,0.66102,0.99034,-1.41665
22:33.9,0.70653,0.96639,-1.39629
22:34.1,0.63108,0.98435,-1.40348
22:34.3,0.70413,0.95321,-1.51365
22:34.5,0.63228,0.98794,-1.41545
22:34.7,0.67779,0.93765,-1.43701
22:34.9,0.70054,0.97237,-1.39629
22:35.1,0.68737,0.97956,-1.45497
22:35.3,0.66102,1.04303,-1.48371
22:35.5,0.66461,0.92567,-1.55676
22:35.7,0.65743,0.97836,-1.36755
22:35.9,0.71012,1.00231,-1.43701
22:36.1,0.60354,0.94244,-1.39749
22:36.3,0.6251,0.9616,-1.3903
22:36.5,0.58677,0.98674,-1.47413
22:36.7,0.67898,0.96878,-1.44419
22:36.9,0.69455,0.92208,-1.51365
22:37.1,0.65384,0.94842,-1.46455
22:37.3,0.77718,0.9592,-1.41306
22:37.5,0.65982,0.93046,-1.56394
22:37.7,0.73048,0.92567,-1.45138
22:37.9,0.73167,0.92807,-1.56754
22:38.1,0.7209,1.02506,-1.47533
22:38.3,0.61552,1.00111,-1.36396
22:38.5,0.65264,0.97597,-1.54718
22:38.7,0.81909,0.93525,-1.41545
22:38.9,0.74844,0.96399,-1.4418
22:39.1,0.73527,0.89693,-1.45377
22:39.3,0.72688,0.94723,-1.52682
22:39.5,0.8131,0.89094,-1.35438
22:39.7,0.74365,0.98076,-1.40827
22:39.9,0.63228,0.94483,-1.38312
22:40.1,0.73886,0.94124,-1.37234
22:40.3,0.73407,0.90292,-1.47772
22:40.5,0.70772,1.03704,-1.41665
22:40.7,0.7664,1.03345,-1.51844
22:40.9,0.64665,0.97836,-1.42503
22:41.1,0.61312,0.94483,-1.52562
22:41.3,0.70892,0.99034,-1.49209
22:41.5,0.77119,0.96519,-1.45976
22:41.7,0.82628,0.94363,-1.39509
22:41.9,0.58318,0.97118,-1.37354
